"TimeStep","Time","Points:0","Points:1","Points:2"
0,0,2,0,0
1,0.00025,2,0,0
2,0.0005,2,0,0
3,0.00075,2,0,0
4,0.001,2,0,0
5,0.00125,2,0,0
6,0.0015,2,0,0
7,0.00175,2,0,0
8,0.002,2,0,0
9,0.00225,2.125,0.12535,0
10,0.0025,2.5,0.12533,0
11,0.00275,2.875,0.12528,0
12,0.003,3.1249,0.12534,0
13,0.00325,3.4999,0.12532,0
14,0.0035,3.8749,0.12531,0
15,0.00375,4.2499,0.1253,0
16,0.004,4.7499,0.12522,0
17,0.00425,5.1249,0.12523,0
18,0.0045,5.4999,0.12522,0
19,0.00475,5.8749,0.12524,0
20,0.005,6.3749,0.12517,0
21,0.00525,6.7499,0.12517,0
22,0.0055,7.1248,0.12517,0
23,0.00575,7.4998,0.12516,0
24,0.006,7.8748,0.12517,0
25,0.00625,8.2498,0.12515,0
26,0.0065,8.6248,0.2503,0
27,0.00675,8.9998,0.2503,0
28,0.007125,9.6248,0.25026,0
29,0.007625,10.375,0.37532,0
30,0.007875,10.75,0.50041,0
31,0.008125,11.25,0.62544,0
32,0.0085,11.875,0.75043,0
33,0.00875,12.375,0.87541,0
34,0.009,12.75,1.0004,0
35,0.00925,13.125,1.1254,0
36,0.0097188,13.875,1.3754,0
37,0.0099688,14.25,1.5005,0
38,0.010219,14.625,1.6255,0
39,0.010469,15.125,1.7505,0
40,0.010813,15.625,1.8755,0
41,0.011063,16,2.0005,0
42,0.011313,16.375,2.1255,0
43,0.011563,16.875,2.2505,0
44,0.011813,17.25,2.3756,0
45,0.012188,17.875,2.5005,0
46,0.012438,18.25,2.6256,0
47,0.012688,18.625,2.7507,0
48,0.012938,19,2.8757,0
49,0.013188,19.375,2.8756,0
50,0.013438,19.75,3.0007,0
51,0.013688,20.125,3.1258,0
52,0.013938,20.5,3.2508,0
53,0.014188,20.875,3.2507,0
54,0.014438,21.375,3.3757,0
55,0.014688,21.75,3.5008,0
56,0.014938,22.125,3.5007,0
57,0.015188,22.5,3.6258,0
58,0.015438,23,3.6256,0
59,0.015688,23.375,3.7508,0
60,0.015938,23.75,3.7507,0
61,0.016188,24.125,3.8758,0
62,0.016438,24.5,3.8757,0
63,0.016688,24.875,4.0008,0
64,0.016938,25.375,4.0007,0
65,0.017188,25.75,4.0006,0
66,0.017438,26.125,4.1258,0
67,0.017688,26.5,4.1257,0
68,0.017938,26.875,4.2508,0
69,0.018188,27.25,4.2507,0
70,0.018438,27.625,4.3759,0
71,0.018688,28.125,4.3757,0
72,0.018938,28.5,4.5008,0
73,0.019188,28.875,4.5008,0
74,0.019438,29.25,4.6259,0
75,0.019625,29.5,4.6258,0
76,0.019875,30,4.6257,0
77,0.02025,30.5,4.7508,0
78,0.0205,30.875,4.8759,0
79,0.02075,31.375,4.8758,0
80,0.021375,32.25,5.0009,0
81,0.021625,32.75,5.0007,0
82,0.021875,33.125,5.1258,0
83,0.022125,33.5,5.1257,0
84,0.022375,33.875,5.2509,0
85,0.022625,34.25,5.2507,0
86,0.022875,34.625,5.3759,0
87,0.023125,35,5.501,0
88,0.023375,35.375,5.5009,0
89,0.023875,36.125,5.6259,0
90,0.024125,36.625,5.6258,0
91,0.024375,36.875,5.7509,0
92,0.024625,37.375,5.7508,0
93,0.024875,37.75,5.7507,0
94,0.025125,38.125,5.8759,0
95,0.025375,38.5,5.8758,0
96,0.025625,38.875,5.8757,0
97,0.025875,39.25,6.0009,0
98,0.026125,39.625,6.0008,0
99,0.026375,40,6.0008,0
100,0.026625,40.375,6.1259,0
101,0.026875,40.75,6.1258,0
102,0.027125,41.125,6.1258,0
103,0.027375,41.5,6.251,0
104,0.027625,41.875,6.2509,0
105,0.027875,42.25,6.2508,0
106,0.02825,42.875,6.376,0
107,0.0285,43.25,6.376,0
108,0.02875,43.625,6.3759,0
109,0.029,44,6.3759,0
110,0.02925,44.375,6.5011,0
111,0.0295,44.875,6.3758,0
112,0.02975,45.25,6.3758,0
113,0.03,45.625,6.501,0
